主从表关联ID,帐号,数据状态,行政区划代码,行业代码2017,注册资金,上市及新三板、四板挂牌情况,上市挂牌时间,本公司是否为上市挂牌企业主体,上市挂牌企业年末市值,工业总产值当年价格,营业收入,其中主营业务收入,其中技术收入,其中技术转让收入,技术承包收入,技术咨询与服务收入,接受委托研究开发收入,产品销售收入,其中高新技术产品,商品销售收入,其他营业收入,净利润,从业人员期末人数,其中留学归国人员,其中外籍常驻人员,其中引进外籍专家,其中当年新增从业人员,其中吸纳高校应届毕业生,从业人员年平均人数,具有研究生学历位人员,其中博士,其中硕士,具有大学本科学历位人员,具有大学专科学历人员,接受高等教育前为非就业地户籍人员,技能人员,其中高级技师国家职业资格一级,技师国家职业资格二级,高级技能人员国家职业资格三级,中级技能人员国家职业资格四级,初级技能人员国家职业资格五级,中层及以上管理人员,专业技术人员,科技活动人员合计,科技活动费用合计,当年专利申请数
212791,91450102070618527Q,EN,4501,6550,500,00,,,0,0,5266.47,5266.47,5266.47,0,0,5266.47,0,0,0,0,0,375.78,11,0,0,0,3,3,10,0,0,0,7,4,0,1,0,0,0,1,0,2,3,10,660.39,0
212792,91450100782114909T,EN,4501,2023,7000,13,2015,1,8500,55675,43709,43709,0,0,0,0,0,43709,35602,0,0,7,80,0,0,0,5,0,64,0,0,0,5,10,0,0,0,0,0,0,0,12,27,30,1669,2
212810,914501000977284195,EN,4501,6599,20000,00,,,0,0,22921,22921,22921,48,55,20628.9,210,0,0,0,0,398.58,105,0,0,0,42,2,100,4,2,2,20,9,0,0,0,0,0,0,0,0,0,21,1238,0
212822,914501030907205292,EN,4501,6560,2000,00,,,0,0,1903.73,1903.73,1510.57,0,0,1510.57,0,393.16,393.16,0,0,-78.06,16,0,0,0,0,0,16,0,0,0,8,8,0,0,0,0,0,0,0,0,15,16,806.62,0
212839,914501086821280436,EN,4501,3463,5000,00,,,0,3465.03,4184.48,4172.51,0,0,0,0,0,4117.48,4117.48,55.03,11.98,85.59,38,0,0,0,0,0,32,0,0,0,6,12,0,0,0,0,0,0,0,2,8,7,746,5
212842,91450100MA5KAAU070,EN,4501,7320,61680,00,,,0,0,647.96,647.96,647.96,0,0,647.96,0,0,0,0,0,106.62,6,0,0,0,3,0,6,0,0,0,3,0,0,6,0,2,0,1,3,3,3,6,211.67,6
212848,91450100MA5K9FP54H,EN,4501,6599,5000,00,,,0,0,6224.58,6224.58,6224.58,0,0,6224.58,0,0,0,0,0,31.95,39,0,0,0,0,0,37,3,0,2,21,11,0,0,0,0,0,0,0,5,23,8,119.32,4
212851,914501000719793085,EN,4501,2661,5000,00,,,0,27304,21418,21418,0,0,0,0,0,21418,17134,0,0,4122.06,21,0,0,0,2,0,21,1,0,1,4,3,0,2,1,0,0,0,1,3,9,9,120,0
212859,914500000811760314,EN,4501,7492,10000,00,,,0,0,6950.61,6950.61,4296.23,0,0,3646.23,650,938.68,938.68,1715.7,0,376.19,43,0,0,0,12,1,34,0,0,0,40,3,0,0,0,0,0,0,0,4,33,33,1169.6,2
212869,91450100068896130L,EN,4501,4419,10000,00,,,0,26033.77,26033.77,26033.77,18490,0,0,18490,0,0,0,0,7543.77,4284.3,77,0,0,0,11,4,74,6,0,6,39,28,67,9,0,0,1,3,5,19,56,32,1541.8,0
212873,91450107090701846D,EN,4501,6513,2000,00,,,0,0,3861.54,3861.54,1409.73,0,60.28,1113.6,235.85,1414.29,360,1037.52,0,-33.59,22,0,0,0,9,0,21,0,0,0,14,6,0,0,0,0,0,0,0,2,17,17,629.31,0
212877,914500003273226186,EN,4501,5449,80000,00,,,0,0,64333,63486,846.8,0,0,846.8,0,63486,2438,0,0.2,-29746,141,1,0,0,14,4,132,16,0,16,84,30,0,0,0,0,0,0,0,19,22,59,2740,0
212880,91450100729786407B,EN,4501,6511,30000,00,,,0,0,37752.36,37752.36,0,0,0,0,0,30296.35,28463.76,7456.01,0,131.57,27,0,0,0,0,0,26,0,0,0,6,21,0,0,0,0,0,0,0,6,15,10,469.96,0
212893,91450100315923432P,EN,4501,6513,5000,00,,,0,0,93.85,93.85,0,0,0,0,0,0,0,93.85,0,-373.23,3,0,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,143,0
212905,914501000510488214,EN,4501,2661,16764.52,00,,,0,73977.51,73977.51,73977.51,0,0,0,0,0,73977.51,51784.26,0,0,17305.07,40,0,0,0,7,1,40,2,0,2,12,14,0,14,0,0,2,4,8,11,8,9,3467,3
212947,91450103075246216F,EN,4501,6513,10000,00,,,0,0,2378.35,2378.35,986.92,0,0,148.34,838.58,1391.42,102.24,0,0,78.22,29,0,0,0,6,1,30,1,0,1,15,9,2,4,0,3,0,0,1,2,13,12,1034.69,0
212949,91450103745149205P,EN,4501,6531,3000,00,,,0,0,7103,5714,1389,0,0,1389,0,5714,0,0,0,77.63,15,0,0,0,2,2,15,0,0,0,8,7,0,0,0,0,0,0,0,5,10,15,287.5,0
212964,914501277597690189,EN,4501,3039,19000,00,,,0,10755.84,10755.84,10755.84,0,0,0,0,0,10755.84,10755.84,0,0,32.56,51,0,0,0,0,0,53,0,0,0,8,5,9,5,0,0,0,1,4,8,10,12,1030,6
212977,91450102680118087U,EN,4501,6560,20000,00,,,0,0,4657.49,4657.49,4657.49,0,0,4657.49,0,0,0,0,0,-42.19,25,0,0,0,3,3,23,2,0,2,19,4,0,0,0,0,0,0,0,6,15,12,857,0
212981,91450100330694412G,EN,4501,6513,5000,00,,,0,0,769.29,769.29,769.29,0,0,769.29,0,0,0,0,0,258.33,3,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,1,2,1,544.83,0
212987,91450100697601243R,EN,4501,3499,10000,00,,,0,50037,46398,45978,0,0,0,0,0,45978,40380,0,420,568,98,0,0,0,1,1,95,0,0,0,16,31,2,0,0,0,0,0,0,13,16,16,2082,11
212993,91450126677743164T,EN,4501,5090,50000,00,,,0,0,166105,166105,0,0,0,0,0,166105,140146.23,0,0,10692.16,158,0,0,0,21,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6647.33,0
212995,91450100718803275P,EN,4501,6571,5000,00,,,0,0,9337.58,9337.58,8789.45,0,0,8789.45,0,0,0,0,548.13,-10475.53,111,1,0,0,20,6,108,10,0,10,89,9,0,0,0,0,0,0,0,5,26,23,1691.81,0
212997,91450102687771281B,EN,4501,6512,5000,13,2017,1,0,0,4754.68,4754.68,0,0,0,0,0,4754.68,3905.63,0,0,83.59,17,0,0,0,3,0,17,0,0,0,6,11,0,0,0,0,0,0,0,6,11,10,682,0
213000,914501005984481402,EN,4501,7513,10000,00,,,0,0,3626.06,3626.06,3626.06,0,0,3626.06,0,0,0,0,0,127.52,23,0,0,0,7,7,15,4,1,3,12,6,1,0,0,0,0,0,0,7,12,8,550,2
213021,914501007658143565,EN,4501,6550,5000,00,,,0,0,14205.62,14205.62,0,0,0,0,0,8020.55,8020.55,0,6185.07,76.5,60,0,0,0,15,0,33,0,0,0,0,19,0,0,0,0,0,0,0,4,8,4,14.32,0
213027,91450100677717441G,EN,4501,6429,10000,00,,,0,0,117672,90897,41160,0,23172,17988,0,76311,34250,201,0,1188,48,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,540,0
213028,91450103068892172D,EN,4501,6513,10000,00,,,0,0,9498,9498,2937,0,0,2029,0,6561,0,0,0,230,8,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,0,0,0,3,5,5,317,0
213032,91450103581985820U,EN,4501,6550,1000,00,,,0,0,17970,9225,0,0,0,0,0,9225,5535,0,8745,775,25,0,0,0,7,5,23,0,0,0,18,7,0,18,0,0,2,8,8,6,15,18,452,0
213035,91450105096024401E,EN,4501,6513,2000,00,,,0,0,2968.46,2590.91,377.55,0,0,377.55,0,0,0,2590.91,0,134.97,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,2,1,54,0
213042,91450100596885048C,EN,4501,7721,10000,00,,,0,0,7000,7000,4150,0,0,4150,0,2850,0,0,0,743,15,0,0,0,4,2,15,0,0,0,10,5,0,0,0,0,0,0,0,3,4,5,139,1
213044,91450103554708473J,EN,4501,7530,2000,00,,,0,0,2022.16,1901.5,1901.5,0,0,1901.5,0,0,0,0,120.66,171.71,10,0,0,0,0,0,12,0,0,0,9,1,0,0,0,0,0,0,0,3,6,8,195.3,0
213048,91450100399551460C,EN,4501,6560,10000,00,,,0,0,5642.32,5642.32,5642.32,0,0,5642.32,0,0,0,0,0,1531.65,41,0,0,0,0,0,37,3,0,3,24,13,0,0,0,0,0,0,0,4,10,10,793.9,0
213050,914501006648277215,EN,4501,6531,10000,00,,,0,0,14996,5999,5999,0,0,5999,0,8997,8997,0,0,1609,15,0,0,0,0,0,15,0,0,0,10,5,0,0,0,0,0,0,0,4,7,8,600,0
213051,91450100MA5K9NKG4Q,EN,4501,4416,8000,00,,,0,810.71,610.71,610.71,120,0,0,0,120,490.71,490.71,0,0,32.15,8,0,0,0,0,0,8,1,0,1,3,2,0,0,0,0,0,0,0,2,4,8,125.15,2
213053,91450100796837614D,EN,4501,7690,2000,00,,,0,0,17215,17215,14060,0,0,14060,0,0,0,0,3155,2129,82,0,0,0,8,7,81,4,0,4,21,37,0,15,2,0,5,1,7,2,56,10,1071,10
213067,91450100098806415K,EN,4501,6512,10000,00,,,0,0,1913,1913,1913,0,0,1913,0,0,0,0,0,11,4,0,0,0,0,0,4,1,0,1,1,2,0,0,0,0,0,0,0,1,3,4,215,0
213071,91450100MA5KAUHM9X,EN,4501,8492,25000,00,,,0,0,64348.88,64348.88,64348.88,0,0,64348.88,0,0,0,0,0,6682.3,191,0,0,0,20,15,162,11,2,8,0,0,0,0,0,0,0,0,0,23,105,62,6206.38,11
213074,91450103588639015N,EN,4501,7486,2000,00,,,0,0,18836.23,18836.23,18836.23,0,0,18836.23,0,0,0,0,0,2653.07,34,0,0,0,2,1,34,5,0,5,22,7,0,0,0,0,0,0,0,5,24,16,1100,1
213075,914501000907156829,EN,4501,7441,30000,00,,,0,0,7218.69,7218.69,7218.69,0,0,7218.69,0,0,0,0,0,-6829.25,66,0,0,0,23,12,63,0,0,0,45,16,0,0,0,0,0,0,0,14,42,37,786,0
213083,91450100052708123U,EN,4501,7484,6000,00,,,0,0,5876.32,5726.32,4622.33,0,0,4622.33,0,0,0,0,1253.99,117.26,13,0,0,0,5,2,16,3,0,3,9,1,4,0,0,0,0,0,0,3,10,10,885.27,0
213090,91450000747950485J,EN,4501,6550,30000,00,,,0,0,43931,43931,10329,0,0,10329,0,20284,20284,0,13318,11401,65,0,0,0,10,3,59,2,0,2,39,21,0,0,0,0,0,0,0,7,34,20,1376,0
213099,91450107MA5K9N92X4,EN,4501,3862,1000,00,,,0,1572.89,1453.07,1453.07,110,0,0,110,0,1343.07,831.34,0,0,6.74,7,0,0,0,0,0,7,0,0,0,2,3,0,1,0,0,0,1,0,5,1,4,242.92,10
213104,9145010057182357XW,EN,4501,3829,12000,00,,,0,114125.51,11412.51,11406.59,0,0,0,0,0,10813.78,10813.78,592.81,5.92,-256.47,36,0,0,0,3,0,37,0,0,0,9,13,0,5,0,0,0,0,5,6,3,15,848.76,7
213105,91450100669741433U,EN,4501,6513,10010,00,,,0,0,4256.75,4256.75,1381.7,0,0,1381.7,0,2875.05,2639.18,0,0,461.56,9,0,0,0,0,0,9,0,0,0,2,7,5,0,0,0,0,0,0,2,6,5,256,0
213113,91450100315888729D,EN,4501,3829,15880,00,,,0,2206,2206,2206,220,0,0,220,0,1428,1411,538,20,211,16,0,0,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16,134.8,0
213120,91450107340380070L,EN,4501,7530,3000,00,,,0,0,612.61,612.61,612.61,0,0,612.61,0,0,0,0,0,1.81,7,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,458.38,3
213127,91450100737646025L,EN,4501,7721,20000,00,,,0,0,74629,73200,0,0,0,0,0,73200,73200,0,1429,-739,59,0,0,0,0,0,59,0,0,0,18,10,0,0,0,0,0,0,0,10,13,26,3021,0
213170,91450103574599737P,EN,4501,4891,2000,13,2015,1,0,0,7157.04,7157.04,2990.65,0,0,2990.65,0,0,0,0,4166.39,366.32,28,0,0,0,4,4,25,0,0,0,12,15,0,0,0,0,0,0,0,0,6,8,480.5,0
213178,91450100397017483T,EN,4501,6560,1000,00,,,0,0,682,682,4,0,0,4,0,0,0,678,0,212.5,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0
213194,91450103747965230Y,EN,4501,6519,5000,00,,,0,0,1559.14,1559.14,0,0,0,0,0,1559.14,1424.12,0,0,152.71,23,0,0,0,5,2,18,0,0,0,6,14,0,0,0,0,0,0,0,5,14,14,810.65,0
213227,91450100771704508G,EN,4501,4891,10000,00,,,0,0,90328.07,90328.07,64852.21,0,64852.21,0,0,18266.43,14845.72,0,7209.43,7109.62,44,0,0,0,6,6,44,1,0,1,18,20,0,6,1,5,0,0,0,12,16,15,42143.13,0
213233,914501033306323507,EN,4501,6599,2000,00,,,0,0,2208.53,2208.53,2208.53,0,0,2208.53,0,0,0,0,0,-92.17,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213237,91450100799709562X,EN,4501,4862,10000,00,,,0,0,14233.9,10999.79,11855,0,0,854.4,0,0,0,2378.9,0,-513.61,54,0,0,0,5,0,52,6,3,3,35,11,0,0,0,0,0,0,0,14,10,0,0,0
213241,914501266976436382,EN,4501,3981,30400,00,,,0,101824,101484,101466,4405,0,0,4405,0,97061,97061,0,18,-1182,553,0,0,0,223,0,537,0,0,0,2,25,0,0,0,0,0,0,0,12,0,56,4295,5
213253,91450100596865936Q,EN,4501,6513,20000,00,,,0,0,3394,3394,3394,0,0,0,3394,0,0,0,0,415,11,0,0,0,4,0,13,0,0,0,7,4,0,0,0,0,0,0,0,2,9,9,548,0
213257,91450100054390729E,EN,4501,6511,10000,00,,,0,0,6515,6515,1,0.5,0,0.5,0,3000,1,514,3000,198,20,0,0,0,0,0,20,0,0,0,5,15,0,0,0,0,0,0,0,3,8,8,260,0
213278,91450126559428921L,EN,4501,2039,20000,00,,,0,423567,307842.54,284290.22,0,0,0,0,0,284313.77,162045.42,23528.77,0,6754.27,402,0,0,0,102,30,380,0,0,0,52,100,0,0,0,0,0,0,0,20,15,42,10530,15
213298,914501007114295080,EN,4501,6531,20300,00,,,0,0,91789.05,91789.05,13217.62,0,0,13217.62,0,69300.73,65835.69,9270.7,0,5101.05,62,0,0,0,0,0,61,2,0,2,44,16,0,0,0,0,0,0,0,8,40,30,3114.48,3
213324,914501030969811640,EN,4501,6531,5000,00,,,0,0,20967.05,20967.05,8686,0,0,8686,0,8695.9,3719.98,3585.15,0,1144.22,16,0,0,0,4,2,16,0,0,0,12,4,0,0,0,0,0,0,0,4,12,6,1200,0
351698,91450000569070898M,en,4501,4710,310000,00,,,0,0,3105297,3105297,3105297,0,0,3105297,0,0,0,0,0,15651,680,0,0,0,0,0,680,21,0,21,338,321,0,0,0,0,0,0,0,0,126,126,99524,0
351700,91450000054392054K,en,4501,4790,100000,00,,,0,0,1700115,1700115,1700115,0,0,1700115,0,0,0,0,0,13698,610,0,0,0,211,33,553,26,1,25,305,211,0,35,0,2,3,29,1,53,231,72,52134,9
351707,91450100MA5KCLBT4E,en,4501,6940,20000,00,,,0,0,40346.38,40346.38,0,0,0,0,0,34674.1,34674.1,5421.02,251.26,-7804.47,54,1,0,0,15,4,55,4,0,4,39,11,35,38,5,14,0,0,19,11,39,11,2655.24,4
351713,91450000739981337N,en,4501,1340,21090,00,,,0,304580,410813.75,401069.09,401069.09,0,401069.09,0,0,0,0,0,9744.66,-62339.7,375,0,0,0,1,0,375,4,0,4,37,62,0,65,1,64,0,0,0,0,65,0,0,0
351717,914501235745615367,en,4501,0313,30000,00,,,0,0,317742.15,317742.15,0,0,0,0,0,317742.15,317742.15,0,0,-7419.04,117,0,0,0,5,3,120,1,0,1,7,31,85,25,0,0,2,6,17,15,25,25,6556.14,0
351718,914501005998365403,en,4501,4879,100000,00,,,0,0,488307.18,488307.18,488307.18,0,0,488307.18,0,0,0,0,0,11019.03,131,0,0,0,27,5,121,0,0,0,30,72,0,0,0,0,0,0,0,25,42,50,35304.61,2
351735,91450125773890359C,en,4501,1741,10000,00,,,0,155201.64,152411.15,152411.15,0,0,0,0,0,152411.15,129549.48,0,0,-1920.86,355,0,0,0,15,12,355,1,0,1,26,41,12,7,0,0,1,4,2,34,42,72,4985.36,1
351760,91450126727651285D,en,4501,1741,10000,00,,,0,12000,119245,119245,0,0,0,0,0,119245,1000,0,0,4414,156,0,0,0,32,0,150,0,0,0,0,0,0,87,0,0,0,0,87,5,3,17,300,4
351761,914501007943462050,en,4501,3311,53351,00,,,0,77814,77998,77998,0,0,0,0,0,77998,54547,0,0,-2874,210,1,0,0,0,0,210,0,0,0,10,19,0,5,0,0,0,0,5,18,51,34,3276,7
351769,914501036902163936,en,4501,5273,21800,00,,,0,0,61565,49252,12313,0,0,12313,0,49252,0,0,0,824,31,0,0,0,3,2,30,0,0,0,10,7,0,5,0,0,1,2,2,6,5,20,2931,0
351773,914501007276669620,en,4501,4920,10000,00,,,0,0,66444,66444,26578,0,0,26578,0,39866,0,0,0,443,71,0,0,0,2,2,69,0,0,0,7,41,0,40,0,1,1,10,28,9,62,22,2900,0
351774,91450100MA5KE2TW2W,en,4501,5176,1000,00,,,0,0,79080,78928,63624,0,0,63624,0,15304,0,152,0,1495,28,0,0,0,0,0,26,0,0,0,12,16,0,0,0,0,0,0,0,0,0,6,3187,0
351778,914501007565244370,en,4501,4813,50000,00,,,0,0,114292.47,114292.47,114292.47,0,0,114292.47,0,0,0,0,0,5152,102,0,0,0,31,7,82,0,0,0,16,35,0,0,0,0,0,0,0,10,64,31,5966.9,0
351779,91450100588621819K,en,4501,8290,10660,00,,,0,0,55201.52,55201.52,0,0,0,0,0,55201.52,55201.52,0,0,291.36,188,0,0,0,51,48,179,2,0,2,108,66,13,133,7,11,23,28,64,28,145,48,2605.77,0
351781,91450100715181482M,en,4501,4710,20080,00,,,0,0,148667.9,148667.9,93660.78,0,0,93660.78,0,0,0,0,55007.12,1314.95,235,0,0,0,133,12,241,1,0,1,36,89,0,51,0,0,5,34,12,43,35,35,6032.03,10
351782,91450126059514823A,en,4501,3029,15000,00,,,0,32160,31604.9,31604.9,0,0,0,0,0,31604.9,31604.9,0,0,-1569.78,55,0,0,0,3,0,55,0,0,0,2,7,0,6,0,0,0,6,0,0,0,9,1909.1,0
351783,91450100598448167R,en,4501,3352,20000,00,,,0,50172,50172,50172,0,0,0,0,0,13244,13244,36928,0,718,8,0,0,0,0,0,8,0,0,0,2,3,0,0,0,0,0,0,0,3,3,0,0,0
351787,91450000692754275X,en,4501,7723,150000,00,,,0,0,32813.26,32813.26,20344.22,0,0,20344.22,0,0,0,0,12469.04,-3022.94,32,0,0,0,6,0,32,0,0,0,10,16,13,0,0,0,0,0,0,11,15,8,280,0
351792,91450100MA5K9RNW5Y,en,4501,2624,5000,00,,,0,31706,30985,30985,0,0,0,0,0,30985,1519,0,0,-472,22,0,0,0,5,0,22,1,0,1,5,12,0,5,0,0,0,1,4,3,7,9,1558,0
351793,91450100782111775L,en,4501,4419,110443.3,00,,,0,54240,57226,57136,0,0,0,0,0,51426,41655.06,5710,90,197,74,0,0,0,35,9,56,1,0,1,23,34,0,0,0,0,0,0,0,29,36,15,3599.82,0
351794,91450100718882786Y,en,4501,3823,100160,00,,,0,34234.7,34234.7,34234.7,0,0,0,0,0,34234.7,25470,0,0,-3391.6,49,0,0,0,5,0,49,0,0,0,8,13,0,0,0,0,0,0,0,5,6,11,1722.9,6
351800,91450100669747464D,en,4501,3012,25000,00,,,0,31130,30646,30132,514,0,0,0,514,30132,30132,0,0,-601,86,0,0,0,6,2,80,0,0,0,2,4,0,5,0,0,0,2,3,5,6,12,1533,0
351802,91450107330745048P,en,4501,6519,2000,00,,,0,0,26920.81,23339.55,15813.94,0,0,15813.94,0,0,0,8104.97,3001.9,2450.78,58,0,0,0,26,4,56,0,0,0,37,18,0,4,0,0,1,2,1,6,46,47,5147.81,6
351803,91450103732211620X,en,4501,6579,500,00,,,0,0,33137.25,33137.25,30108.41,0,0,30108.41,0,3028.84,0,0,0,253.13,46,0,0,0,9,0,46,0,0,0,25,21,0,0,0,0,0,0,0,10,6,5,500,0
351804,91450102779145181H,en,4501,2319,2000,00,,,0,23834.54,23834.54,23814.63,0,0,0,0,0,23814.63,15479.9,0,19.91,153.39,67,0,0,0,0,0,69,0,0,0,3,10,0,0,0,0,0,0,0,11,9,9,1620.24,0
351806,91450100348550986M,en,4501,8290,10000,00,,,0,0,39194,39194,30670,0,0,30670,0,0,0,8524,0,1302,371,0,0,0,161,32,300,0,0,0,92,175,0,0,0,0,0,0,0,14,11,31,1115,0
351810,91450000322599706K,en,4501,6531,70000,00,,,0,10132,25329,25329,0,0,0,0,0,21854,21854,0,3475,-4651,47,0,0,0,6,2,43,4,1,3,30,9,39,0,0,0,0,0,0,6,21,26,3927,0
351812,91450100782119726C,en,4501,8219,10080,00,,,0,0,36125.98,36125.98,31479.48,0,0,31479.48,0,0,0,42.67,4603.83,-1073.31,555,0,0,0,64,0,610,0,0,0,10,21,0,4,0,0,0,4,0,38,517,76,2000.5,6
351817,91450100198308149Y,en,4501,3039,30000,00,,,0,39407.02,27230.33,27230.33,0,0,0,0,0,27230.33,20422.74,0,0,39.85,16,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1622.7,0
351820,91450100697623952D,en,4501,4891,108600,00,,,0,0,4541.7,3728.2,0,0,0,0,0,0,0,0,4541.7,49.2,9,0,0,0,9,0,9,0,0,0,1,3,8,9,0,0,6,3,0,1,8,0,0,0
351833,91450127739973054E,en,4501,1530,3880,00,,,0,52250,17420,17420,0,0,0,0,0,17420,14170,0,0,-1539,51,0,0,0,2,2,45,0,0,0,5,11,0,11,1,0,0,2,8,20,8,5,2000,10
351834,91450100697645078W,en,4501,5176,5000,00,,,0,0,32527.78,32527.78,0,0,0,0,0,32527.78,32527.78,0,0,1802.63,16,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,3,7,7,1626.39,0
351835,91450103763065611T,en,4501,7249,30000,00,,,0,0,14391.29,14391.29,0,0,0,0,0,14391.29,12695,0,0,208.71,45,0,0,0,6,0,39,0,0,0,18,27,0,19,4,2,4,4,5,4,19,15,820,0
351836,914501000790513288,en,4501,4879,20000,00,,,0,0,114572.2,114572,114258.97,0,0,114258.97,0,0,0,313.23,0,9722.58,100,0,0,0,38,5,65,1,0,1,32,47,0,51,0,8,2,26,15,20,40,25,2779.5,0
